tag,inner_lr,l2_reg,adapt_steps,ori_weight,best_line
lr1e-6_l20_S10000_ow0.05,1e-6,0,10000,0.05,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.009999901056289673, 'pos_rmse_m': 0.011442008428275585, 'ori_deg': 1.7562713623046875} score=0.027562614679336548"
lr1e-6_l20_S10000_ow0.10,1e-6,0,10000,0.10,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.01006712019443512, 'pos_rmse_m': 0.011513817124068737, 'ori_deg': 1.743274211883545} score=0.02749986231327057"
lr1e-6_l20_S10000_ow0.30,1e-6,0,10000,0.30,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010237437672913074, 'pos_rmse_m': 0.0116956802085042, 'ori_deg': 1.733054280281067} score=0.027567980475723744"
lr1e-6_l20_S10000_ow0.50,1e-6,0,10000,0.50,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010347792878746986, 'pos_rmse_m': 0.011815930716693401, 'ori_deg': 1.733154535293579} score=0.02767933823168278"
lr1e-6_l20_S20000_ow0.05,1e-6,0,20000,0.05,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.00985930860042572, 'pos_rmse_m': 0.011296827346086502, 'ori_deg': 1.7206448316574097} score=0.027065756916999816"
lr1e-6_l20_S20000_ow0.10,1e-6,0,20000,0.10,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.009918643161654472, 'pos_rmse_m': 0.011357594281435013, 'ori_deg': 1.7137418985366821} score=0.027056062147021293"
lr1e-6_l20_S20000_ow0.30,1e-6,0,20000,0.30,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.010068636387586594, 'pos_rmse_m': 0.011513321660459042, 'ori_deg': 1.7038195133209229} score=0.02710683152079582"
lr1e-6_l20_S20000_ow0.50,1e-6,0,20000,0.50,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.010160707868635654, 'pos_rmse_m': 0.011610724963247776, 'ori_deg': 1.7103164196014404} score=0.027263872064650058"
lr1e-6_l20_S50000_ow0.05,1e-6,0,50000,0.05,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.009873639792203903, 'pos_rmse_m': 0.011342388577759266, 'ori_deg': 1.710429310798645} score=0.026977932900190352"
lr1e-6_l20_S50000_ow0.10,1e-6,0,50000,0.10,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.009934450499713421, 'pos_rmse_m': 0.011406602337956429, 'ori_deg': 1.7102302312850952} score=0.027036752812564374"
lr1e-6_l20_S50000_ow0.30,1e-6,0,50000,0.30,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.010077787563204765, 'pos_rmse_m': 0.01155121810734272, 'ori_deg': 1.7124295234680176} score=0.02720208279788494"
lr1e-6_l20_S50000_ow0.50,1e-6,0,50000,0.50,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.010158962570130825, 'pos_rmse_m': 0.01163292583078146, 'ori_deg': 1.7187856435775757} score=0.027346819005906582"
lr1e-6_l20_S100000_ow0.05,1e-6,0,100000,0.05,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.009945111349225044, 'pos_rmse_m': 0.01144977193325758, 'ori_deg': 1.71259605884552} score=0.027071071937680245"
lr1e-6_l20_S100000_ow0.10,1e-6,0,100000,0.10,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.010007329285144806, 'pos_rmse_m': 0.011516699567437172, 'ori_deg': 1.720212697982788} score=0.027209456264972686"
lr1e-6_l20_S100000_ow0.30,1e-6,0,100000,0.30,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.010121672414243221, 'pos_rmse_m': 0.011634782887995243, 'ori_deg': 1.722375750541687} score=0.027345429919660092"
lr1e-6_l20_S100000_ow0.50,1e-6,0,100000,0.50,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.010180283337831497, 'pos_rmse_m': 0.011693654581904411, 'ori_deg': 1.7333773374557495} score=0.027514056712388994"
lr1e-6_l21e-6_S10000_ow0.05,1e-6,1e-6,10000,0.05,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010000181384384632, 'pos_rmse_m': 0.0114425765350461, 'ori_deg': 1.7577953338623047} score=0.02757813472300768"
lr1e-6_l21e-6_S10000_ow0.10,1e-6,1e-6,10000,0.10,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010067819617688656, 'pos_rmse_m': 0.011514777317643166, 'ori_deg': 1.743300437927246} score=0.02750082399696112"
lr1e-6_l21e-6_S10000_ow0.30,1e-6,1e-6,10000,0.30,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.01023717038333416, 'pos_rmse_m': 0.01169512141495943, 'ori_deg': 1.7337387800216675} score=0.027574558183550837"
lr1e-6_l21e-6_S10000_ow0.50,1e-6,1e-6,10000,0.50,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010348820127546787, 'pos_rmse_m': 0.01181672140955925, 'ori_deg': 1.7330498695373535} score=0.027679318822920324"
lr1e-6_l21e-6_S20000_ow0.05,1e-6,1e-6,20000,0.05,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.009857527911663055, 'pos_rmse_m': 0.011294778436422348, 'ori_deg': 1.7198113203048706} score=0.027055641114711763"
lr1e-6_l21e-6_S20000_ow0.10,1e-6,1e-6,20000,0.10,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.009919470176100731, 'pos_rmse_m': 0.011358973570168018, 'ori_deg': 1.7130506038665771} score=0.027049976214766503"
lr1e-6_l21e-6_S20000_ow0.30,1e-6,1e-6,20000,0.30,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.01006794348359108, 'pos_rmse_m': 0.011512541212141514, 'ori_deg': 1.704673409461975} score=0.02711467757821083"
lr1e-6_l21e-6_S20000_ow0.50,1e-6,1e-6,20000,0.50,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.010159578174352646, 'pos_rmse_m': 0.011609110049903393, 'ori_deg': 1.709259033203125} score=0.027252168506383897"
lr1e-6_l21e-6_S50000_ow0.05,1e-6,1e-6,50000,0.05,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.009873631410300732, 'pos_rmse_m': 0.011343126185238361, 'ori_deg': 1.7099665403366089} score=0.026973296813666822"
lr1e-6_l21e-6_S50000_ow0.10,1e-6,1e-6,50000,0.10,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.00993464607745409, 'pos_rmse_m': 0.011407253332436085, 'ori_deg': 1.7086646556854248} score=0.027021292634308337"
lr1e-6_l21e-6_S50000_ow0.30,1e-6,1e-6,50000,0.30,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.010078328661620617, 'pos_rmse_m': 0.011550821363925934, 'ori_deg': 1.7143218517303467} score=0.027221547178924083"
lr1e-6_l21e-6_S50000_ow0.50,1e-6,1e-6,50000,0.50,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.010158813558518887, 'pos_rmse_m': 0.011632157489657402, 'ori_deg': 1.7197710275650024} score=0.02735652383416891"
lr1e-6_l21e-6_S100000_ow0.05,1e-6,1e-6,100000,0.05,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.009946045465767384, 'pos_rmse_m': 0.011451671831309795, 'ori_deg': 1.7115854024887085} score=0.02706189949065447"
lr1e-6_l21e-6_S100000_ow0.10,1e-6,1e-6,100000,0.10,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.010005161166191101, 'pos_rmse_m': 0.011513964273035526, 'ori_deg': 1.7174745798110962} score=0.027179906964302062"
lr1e-6_l21e-6_S100000_ow0.30,1e-6,1e-6,100000,0.30,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.01012301817536354, 'pos_rmse_m': 0.011634661816060543, 'ori_deg': 1.7237586975097656} score=0.0273606051504612"
lr1e-6_l21e-6_S100000_ow0.50,1e-6,1e-6,100000,0.50,"[INFO] BEST step=100000 metrics={'pos_mae_m': 0.010179262608289719, 'pos_rmse_m': 0.011691592633724213, 'ori_deg': 1.733206868171692} score=0.027511331290006637"
lr1e-6_l21e-5_S10000_ow0.05,1e-6,1e-5,10000,0.05,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.009999019093811512, 'pos_rmse_m': 0.011441138572990894, 'ori_deg': 1.7566266059875488} score=0.027565285153687"
lr1e-6_l21e-5_S10000_ow0.10,1e-6,1e-5,10000,0.10,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010067766532301903, 'pos_rmse_m': 0.011514514684677124, 'ori_deg': 1.74415123462677} score=0.027509278878569604"
lr1e-6_l21e-5_S10000_ow0.30,1e-6,1e-5,10000,0.30,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010237316600978374, 'pos_rmse_m': 0.01169543620198965, 'ori_deg': 1.73073148727417} score=0.027544631473720074"
lr1e-6_l21e-5_S10000_ow0.50,1e-6,1e-5,10000,0.50,"[INFO] BEST step=10000 metrics={'pos_mae_m': 0.010347643867135048, 'pos_rmse_m': 0.011815623380243778, 'ori_deg': 1.7326940298080444} score=0.027674584165215493"
lr1e-6_l21e-5_S20000_ow0.05,1e-6,1e-5,20000,0.05,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.009857464581727982, 'pos_rmse_m': 0.011294752359390259, 'ori_deg': 1.7211390733718872} score=0.027068855315446855"
lr1e-6_l21e-5_S20000_ow0.10,1e-6,1e-5,20000,0.10,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.00991841685026884, 'pos_rmse_m': 0.011357694864273071, 'ori_deg': 1.714805245399475} score=0.027066469304263593"
lr1e-6_l21e-5_S20000_ow0.30,1e-6,1e-5,20000,0.30,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.010067655704915524, 'pos_rmse_m': 0.01151208858937025, 'ori_deg': 1.7021253108978271} score=0.027088908813893794"
lr1e-6_l21e-5_S20000_ow0.50,1e-6,1e-5,20000,0.50,"[INFO] BEST step=20000 metrics={'pos_mae_m': 0.010160929523408413, 'pos_rmse_m': 0.011610665358603, 'ori_deg': 1.709401249885559} score=0.027254942022264004"
lr1e-6_l21e-5_S50000_ow0.05,1e-6,1e-5,50000,0.05,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.009872960858047009, 'pos_rmse_m': 0.011341924779117107, 'ori_deg': 1.7115957736968994} score=0.026988918595016002"
lr1e-6_l21e-5_S50000_ow0.10,1e-6,1e-5,50000,0.10,"[INFO] BEST step=50000 metrics={'pos_mae_m': 0.009934808127582073, 'pos_rmse_m': 0.011406923644244671, 'ori_deg': 1.713440179824829} score=0.027069209925830364"
